Sample_ID,District,Agro_Zone,Season,Soil_pH,Total_N_percent,Available_P_mgkg,Available_K_mgkg,Organic_Carbon_percent,Rainfall_30d_mm,Temperature_mean_C,Recommended_N_kg_ha,Recommended_P2O5_kg_ha,Recommended_K2O_kg_ha,Urea_kg_ha,TSP_kg_ha,MOP_kg_ha
3855,Nuwara Eliya,Wet,Maha,4.52,0.071,6.8,125.8,2.14,,27.1,130,60,20,289.5,126.2,31.6
3856,Colombo,Wet,Yala,4.82,0.081,6.9,130.3,2.5,324.1,24.5,130,60,20,264.7,137.6,35.5
3857,Kegalle,Intermediate,Maha,5.72,0.056,13.4,124.2,1.19,224.5,27.4,130,40,20,276.4,81.4,34.9
3858,Ampara,Dry,Yala,6.19,0.106,11.5,56.2,0.65,77.6,31.4,120,40,60,262.9,91.9,107.1
3859,Anuradhapura,Dry,Yala,5.61,0.071,6.6,106.7,1.4,23.5,28.8,130,60,20,278.5,130.9,31.7
3860,Ampara,Dry,Yala,6.33,0.099,7.7,50,1.35,69.2,30.2,130,60,60,296.7,128.6,95.7
3861,Kilinochchi,Dry,Maha,7.07,0.096,14.6,74.9,1.06,188,31.1,130,40,40,295.9,84.5,61.9
3862,Kilinochchi,Dry,Yala,7.03,0.085,7.4,81.9,0.57,72.9,30.2,130,60,40,287.3,126.4,68.9
3863,Polonnaruwa,Dry,Maha,6.4,0.156,9.6,70.9,1.22,243.3,28.8,100,60,40,213.3,126.6,68.1
3864,Badulla,Intermediate,Yala,6.4,0.192,15.6,120.8,,135.1,26.2,100,20,20,209.4,46,31.7
3865,Kalutara,Wet,Yala,4.97,0.174,7.4,79.8,2.18,206.7,27.5,100,60,40,204.5,134.8,69.6
3866,Kandy,Wet,Maha,5.12,0.196,9.2,106.3,2.94,244.8,25.7,100,60,20,212.7,133.7,32.3
3867,Kilinochchi,Dry,Yala,,,5.8,87.2,1.15,88,28.7,120,60,40,257.5,136.2,63
3868,Matale,Intermediate,Maha,6.69,0.075,12.3,93,1.13,160.1,,130,40,40,290.1,83.8,65.9
3869,Puttalam,Dry,Yala,7.27,0.082,8.6,62.6,0.58,92.1,28.1,130,60,40,289.3,132.7,62.6
3870,Nuwara Eliya,Wet,Maha,5.65,0.153,7.3,89.6,2.89,283.6,24.2,100,60,40,203.4,129.6,64.3
3871,Kalutara,Wet,Yala,4.94,0.091,6.5,89.6,2.6,362.5,25.9,130,60,40,278.2,135.9,65.4
3872,Monaragala,Intermediate,Maha,5.51,0.138,18.4,120.9,1.01,229.1,28.6,120,20,20,248.4,42.3,35.1
3873,Jaffna,Dry,Yala,6.97,0.164,9.7,114.4,0.89,82,30.9,100,60,20,206.2,133.2,34.8
3874,Kandy,Wet,Yala,5.46,0.096,9.3,137.1,1.57,359.4,26.8,130,60,20,296.5,137.9,33
3875,Monaragala,Intermediate,Maha,6.14,0.08,12,52.4,1.74,228,26.9,130,40,60,263.2,85.7,103.4
3876,Batticaloa,Dry,Yala,7.21,0.131,9.1,101.8,0.67,53.5,30.2,120,60,20,257.7,121.9,33.6
3877,Matale,Intermediate,Yala,5.86,,8.3,102.3,1.77,212.7,29.5,130,60,20,268.5,130.7,32.5
3878,Matara,Wet,Maha,,0.199,5.9,65,2.63,226.5,24.8,100,60,40,229.8,127.4,69
3879,Kandy,Wet,Maha,5.49,0.066,9.4,106.4,1.87,355.2,25.2,130,60,20,285,133.8,34.2
3880,Mullaitivu,Dry,Yala,5.92,0.074,13.8,52.6,1.26,26.4,29.7,130,40,60,271.2,92.9,101.8
3881,Vavuniya,Dry,Maha,6.37,0.117,14.1,65.5,0.93,129.1,29.7,120,40,40,261,86.8,67.9
3882,Gampaha,Wet,Yala,,0.173,11,138.4,1.68,280.6,26.4,100,40,20,224.9,86.6,34.2
3883,Vavuniya,Dry,Maha,7.22,0.144,6.7,46.3,0.62,277.8,30,120,60,60,278.8,133.4,98.3
3884,Anuradhapura,Dry,Maha,6.43,0.053,11.5,94.6,0.74,197.9,30.7,130,40,40,270.7,81.8,70.4
3885,Badulla,Intermediate,Maha,6.56,0.054,,100.1,1.96,127.9,29.3,130,20,20,299,41.9,31.6
3886,Anuradhapura,Dry,Maha,7.4,0.157,14.4,80.2,0.89,274.8,31.5,100,40,40,231.6,92.5,70.5
3887,Vavuniya,Dry,Maha,6.52,0.166,5.6,118.7,1.46,218.5,29.7,100,60,20,231,133.7,32.5
3888,Nuwara Eliya,Wet,Maha,5.01,0.135,,123,2.5,253.4,26.5,120,60,20,266.2,120.9,31.4
3889,Anuradhapura,Dry,Yala,5.79,0.173,6.1,56.6,0.87,32.6,31.7,100,60,60,221.6,124.6,101.5
3890,Galle,Wet,Yala,5.52,0.123,10,108.5,2.25,267.8,25.9,120,40,20,257.1,89.4,32.7
3891,Batticaloa,Dry,Yala,6.7,0.051,5.1,45.3,1.27,77.7,30.5,130,60,60,293.3,135.6,104.7
3892,Jaffna,Dry,Yala,6.01,0.178,11.6,101.7,1.22,48.5,29.3,100,40,20,218.4,91.4,33
3893,Mannar,Dry,Maha,6.6,,12.3,105.7,0.91,233.6,28.4,100,40,20,223.2,84.3,34.1
3894,Polonnaruwa,Dry,Yala,6.8,0.136,11.8,75,1.04,52.1,29.6,120,40,40,258.1,92.6,64.8
3895,Colombo,Wet,Maha,4.57,0.146,10.2,134.9,2.01,384.9,25.2,120,40,20,270,87.7,31.8
3896,Polonnaruwa,Dry,Maha,6.57,0.074,6.4,117.5,0.94,223.1,31.1,130,60,20,296.4,134.2,32.7
3897,Matale,Intermediate,Maha,5.34,0.098,12.8,106.7,,143.4,27.2,130,40,20,267.6,88.3,33.8
3898,Nuwara Eliya,Wet,Yala,5.94,0.191,6.8,91.2,1.87,231,26,100,60,40,228.3,123,68.3
3899,Kurunegala,Intermediate,Yala,5.43,0.195,7,63.8,1.85,185.4,27.4,100,60,40,218.7,139.5,67.5
3900,Ratnapura,Wet,Yala,5.49,0.13,10.7,76.4,2.46,235.5,27.5,120,40,40,274.4,82.1,71.6
3901,Matale,Intermediate,Maha,,0.101,11.5,67.2,1.3,223.4,27.6,120,40,40,258.2,83.8,68.6
3902,Kandy,Wet,Maha,5.71,,7.1,103.1,2.48,316.8,24.5,100,60,20,213.5,136.5,35.5
3903,Monaragala,Intermediate,Maha,6.31,0.141,16.4,59,1.45,201.2,26.3,120,20,60,277.1,44.3,94.3
3904,Puttalam,Dry,Maha,7.22,,14.2,58.2,0.98,156.8,29.7,120,40,60,251.2,91.4,93.4
3905,Matara,Wet,Maha,5.26,0.079,5.7,90.4,1.5,390.6,25.8,130,60,40,297.2,130.7,64.8
3906,Mullaitivu,Dry,Yala,5.61,0.174,14.9,99,0.99,54.6,31.4,100,40,40,216.9,85.4,63.1
3907,Anuradhapura,Dry,Yala,5.91,0.114,,74.4,,42.9,28,120,40,40,261.5,92.5,67
3908,Anuradhapura,Dry,Yala,7.04,0.142,12.7,112.6,0.93,23.6,31.5,120,40,20,253.4,80.9,33.4
3909,Gampaha,Wet,Maha,5.28,0.167,11.5,95.9,2.34,207.5,26.2,100,40,40,219.8,91.6,67.5
3910,Galle,Wet,Maha,4.8,0.142,11.3,149,2.06,284.3,26.6,120,40,20,254.1,83.5,34.5
3911,Trincomalee,Dry,Maha,6.9,0.12,7.7,88.8,1.25,289.6,29.4,120,60,40,242.9,137.2,71.4
3912,Monaragala,Intermediate,Maha,6.74,0.111,17.9,95.4,1.05,183.8,26.2,120,20,40,252,41.1,70.5
3913,Matara,Wet,Yala,,0.12,5.3,74,2.65,362.2,26.1,120,60,40,241.6,132,62.9
3914,Trincomalee,Dry,Yala,5.77,0.067,7.1,55.1,0.77,38.2,28.4,130,60,60,302.9,138,97.6
3915,Vavuniya,Dry,Yala,5.72,0.091,,57.9,0.54,68.2,30.3,130,40,60,302.3,86.7,96.3
3916,Anuradhapura,Dry,Yala,6.19,0.152,10.6,51.5,0.85,48.1,31.2,100,40,60,214,90.2,95.2
3917,Monaragala,Intermediate,Yala,6.31,0.146,9,59.9,1.65,208.1,26.7,120,60,60,269.8,136.4,100.7
3918,Colombo,Wet,Maha,5.93,0.15,5.8,121.3,2.01,365.7,26.1,100,60,20,212.4,135,33.6
3919,Kalutara,Wet,Maha,5.54,0.097,7.2,96.4,1.5,379.8,27.2,130,60,40,289.9,138.7,64
3920,Matara,Wet,Maha,5.8,0.053,6.7,79.7,2.48,352.4,24.7,130,60,40,295.5,129.4,68.8
3921,Kurunegala,Intermediate,Yala,5.76,0.058,12.7,83,1.79,179,29.4,130,40,40,301.5,82.7,69
3922,Ratnapura,Wet,Maha,4.87,0.06,8.2,120.1,2.97,206.1,24.6,130,60,20,278.4,121.6,30.9
3923,Hambantota,Dry,Yala,6.83,0.076,8.6,53.2,1.09,82.6,30.9,130,60,60,294.6,125.4,98.4
3924,Jaffna,Dry,Maha,7.27,0.099,9,63.1,1.24,,31.5,130,60,40,272.7,123.4,70.6
3925,Kilinochchi,Dry,Yala,6.96,0.058,7.6,51.2,0.89,98.9,27.6,130,60,60,303.4,131.5,100.3
3926,Matara,Wet,Maha,5.85,0.089,8.1,115.5,2.8,331.6,26.5,130,60,20,262.5,124.2,32.5
3927,Puttalam,Dry,Yala,5.81,0.053,11.9,79.5,1.28,68.5,27.3,130,40,40,287,81,64.2
3928,Galle,Wet,Yala,4.73,0.162,,82.5,2.33,288.5,27.4,100,60,40,222.6,121.3,64.1
3929,Monaragala,Intermediate,Maha,6.1,0.157,17.6,94.1,1.7,141.1,30,100,20,40,223.5,45.7,62.7
3930,Badulla,Intermediate,Maha,5.73,0.057,13,87.6,1.65,103.6,28.4,130,40,40,266.5,88.2,69.9
3931,Mullaitivu,Dry,Yala,5.62,0.109,10,44.7,,38.7,30.1,120,40,60,278.1,85.1,93.8
3932,Kalutara,Wet,Maha,5.88,0.05,7,125.8,1.68,393.8,26.5,130,60,20,269.1,138.1,32.3
3933,Nuwara Eliya,Wet,Maha,5.3,,7.2,136.3,2.09,390.1,26.2,130,60,20,287.8,122,31
3934,Nuwara Eliya,Wet,Maha,5.33,0.113,6.2,107.9,2.97,240.9,27.9,120,60,20,250,139.8,34.7
3935,Galle,Wet,Yala,5.44,0.155,11.3,88.8,2.05,286.1,26.1,100,40,40,211.1,88.5,62.1
3936,Kurunegala,Intermediate,Maha,5.81,0.147,8.8,69.6,1.35,215.3,29.4,120,60,40,262.7,124.2,64.8
3937,Puttalam,Dry,Yala,7.2,0.086,8.6,53,0.63,42.5,27.3,130,60,60,279.1,133.9,101.1
3938,Vavuniya,Dry,Maha,7.3,0.076,9,69.3,1.36,193.8,31.2,130,60,40,268.2,135.6,65.8
3939,Jaffna,Dry,Maha,6.82,0.107,5.2,99.4,1.24,238.9,29,120,60,40,248,129,64.5
3940,Kalutara,Wet,Maha,4.56,0.159,10.6,71.1,1.6,218.7,27.9,100,40,40,214.7,91.7,64.5
3941,Vavuniya,Dry,Maha,7.3,0.172,10.3,98.6,1.42,277.7,31.6,100,40,40,225.8,82.4,69.7
3942,Kandy,Wet,Maha,5.81,0.128,7,147.3,2.59,290,24.9,120,60,20,276.5,126.1,35.7
3943,Ratnapura,Wet,Yala,4.72,0.182,6.5,84.4,1.69,249.9,24.1,100,60,40,203.8,122.4,65.2
3944,Puttalam,Dry,Yala,5.6,0.076,14.1,116.7,1.21,43.4,27.1,130,40,20,278.1,83.2,31
3945,Kalutara,Wet,Yala,5.6,0.085,5.3,142.1,2.49,209.1,25.9,130,60,20,265.7,125.3,31
3946,Vavuniya,Dry,Yala,5.86,0.11,8.2,71.8,0.9,55.7,29.7,120,60,40,242,138.6,69.3
3947,Jaffna,Dry,Maha,7.08,0.126,6.4,59,0.92,234.2,27.8,120,60,60,267.2,122.1,100.8
3948,Colombo,Wet,Maha,4.82,0.066,6.5,122.8,1.7,386.6,26.5,130,60,20,286.9,129,34.7
3949,Matara,Wet,Yala,5.17,0.182,11.6,119.3,1.74,357.4,27.8,100,40,20,206.4,87.4,34.3
3950,Jaffna,Dry,Yala,7.48,0.082,14,95.8,0.51,54.5,31,130,40,40,271.3,92.2,70.8
3951,Mullaitivu,Dry,Yala,6.39,0.096,8.8,113.4,1.04,97.4,27.3,130,60,20,262.4,140.1,35.2
3952,Galle,Wet,Yala,4.88,0.123,11.4,111.4,2.81,298.1,25.2,120,40,20,274,90.3,34.7
3953,Kurunegala,Intermediate,Maha,5.38,0.07,13.8,124.6,1.29,192.3,26.3,130,40,20,302.7,93.1,33.2
3954,Puttalam,Dry,Yala,6.07,0.126,14.7,,0.54,56,31.2,120,40,40,246.6,90.7,64.8
3955,Galle,Wet,Yala,4.53,0.08,11.4,121.1,2.58,329.3,26.1,130,40,20,271.2,93,33.3
3956,Mannar,Dry,Yala,5.89,0.191,13.7,74.8,1.22,42.6,27.3,100,40,40,229.4,89.7,66.7
3957,Hambantota,Dry,Maha,5.65,0.176,,82.8,1.43,255.9,29.5,100,60,40,231.3,122.2,67.8
3958,Badulla,Intermediate,Maha,5.39,0.081,11.7,61.7,1.03,155.1,28.8,130,40,40,279.2,85.7,63.6
3959,Badulla,Intermediate,Maha,6.04,0.141,,93.1,1.53,235.8,28.7,120,60,40,243.3,133.3,68.3
3960,Mullaitivu,Dry,Maha,6.01,0.091,14,87.7,,201.3,28,130,40,40,263.1,85.1,66.3
3961,Vavuniya,Dry,Maha,6.99,0.124,10.7,59.9,1.12,243.7,29.5,120,40,60,263.8,84,101.8
3962,Kegalle,Intermediate,Yala,6.47,0.089,11.7,129.3,1.16,229.4,27.9,130,40,20,278.1,88,32
3963,Vavuniya,Dry,Maha,6.08,0.061,10.2,73.9,0.64,220.3,30.7,130,40,40,262.6,92.7,66
3964,Kegalle,Intermediate,Maha,5.77,0.131,13.8,125.9,1.89,190.7,26.3,120,40,20,264.2,80.9,31.9
3965,Ampara,Dry,Yala,6.25,0.124,9.3,60.2,0.66,40.5,30.9,120,60,40,241.8,135.7,70.5
3966,Gampaha,Wet,Maha,4.97,0.196,10.2,63.4,2.02,343,25.2,100,40,40,226.8,89.9,66.6
3967,Badulla,Intermediate,Maha,6.73,0.109,14.3,128.1,1.28,195.1,27.5,120,40,20,253.3,93.1,31.9
3968,Nuwara Eliya,Wet,Maha,,0.169,7.5,85.9,2.36,,24.1,100,60,40,202.4,138.8,62.1
3969,Mannar,Dry,Maha,7.15,0.151,13.8,91,1.22,166.3,27.4,100,40,40,220.3,90.4,68.5
3970,Puttalam,Dry,Yala,6.43,0.152,8.7,54.8,1.16,55.9,28.5,100,60,60,214.1,130.8,95.7
3971,Jaffna,Dry,Maha,5.9,0.153,11.6,81.6,1.27,214,31.6,100,40,40,232.9,83.1,71.6
3972,Mannar,Dry,Maha,6.94,0.095,13.1,96.1,0.68,149.4,30.7,130,40,40,284.5,87.6,67
3973,Nuwara Eliya,Wet,Yala,5.07,0.148,11.2,121.9,2.47,315.2,24.9,120,40,20,252.1,90.5,32.2
3974,Batticaloa,Dry,Yala,,0.104,9.3,98.8,0.58,82.6,,120,60,40,269.1,138.1,68.3
3975,Ampara,Dry,Yala,5.65,0.051,8.1,,1.45,92.2,30.5,130,60,40,272.9,136.1,64.5
3976,Kalutara,Wet,Maha,5.28,,6.3,,2.52,320.4,26.9,120,60,20,276.7,124.4,34.9
3977,Batticaloa,Dry,Maha,6.8,0.144,8.2,109.3,1.24,275.6,27.2,120,60,20,256,132.3,32.3
3978,Hambantota,Dry,Yala,5.58,,6.1,69.1,,91.3,27.3,120,60,40,262.9,127.1,71.6
3979,Ampara,Dry,Maha,7.42,0.15,12.3,63.9,1.47,243.4,32,100,40,40,202.7,80.6,67.8
3980,Ratnapura,Wet,Yala,5.08,0.174,12,76.3,1.57,377.3,25,100,40,40,215,83.1,70.1
3981,Kurunegala,Intermediate,Yala,5.34,0.075,9.2,86,1.34,155.6,29.2,130,60,40,296.7,122.8,62.4
3982,Gampaha,Wet,Yala,5.47,0.092,8.3,71.6,2.67,,26.8,130,60,40,295.6,137.1,65.2
3983,Kurunegala,Intermediate,Maha,6.73,0.148,5.5,123.4,1.98,219.8,26.8,120,60,20,250.1,125.7,34.5
3984,Puttalam,Dry,Yala,7.39,0.166,7.5,89.4,0.56,21.9,31.8,100,60,40,208.5,126.2,68.3
3985,Kurunegala,Intermediate,Maha,6.21,0.184,11.9,67.2,1.69,123,27,100,40,40,227.7,93,63.6
3986,Vavuniya,Dry,Maha,6.61,0.135,12,108.9,1.47,226.2,28.5,120,40,20,277.7,85.4,32.6
3987,Ampara,Dry,Yala,6.96,0.062,8.3,72.1,0.51,87.8,27.2,130,60,40,265.4,120.8,64.3
3988,Monaragala,Intermediate,Yala,5.39,0.08,16.3,100.6,1.63,139.4,28.3,130,20,20,280.5,42.1,33.9
3989,Mannar,Dry,Maha,6.28,0.128,8.6,68,0.82,167.9,31.4,120,60,40,254.5,123,65.1
3990,Badulla,Intermediate,Maha,5.5,0.05,9.7,86.2,1.56,179,27.4,130,60,40,298.3,122.6,64.8
3991,Mannar,Dry,Maha,7.38,0.087,7.9,90,0.93,292.1,29,130,60,40,264.9,122.1,63.8
3992,Anuradhapura,Dry,Maha,7.16,0.061,5.2,75.6,0.85,164.2,28,130,60,40,270.4,132.2,65.8
3993,Polonnaruwa,Dry,Yala,7.18,0.176,10.4,105.5,0.77,90,29.2,100,40,20,225.6,82.9,31.8
3994,Batticaloa,Dry,Yala,7.22,0.15,,70.8,0.58,44.8,28,100,60,40,202.8,127.7,71.3
3995,Hambantota,Dry,Maha,7.11,0.106,,114.6,0.57,182.5,29.5,120,40,20,260.6,91.7,31.6
3996,Anuradhapura,Dry,Yala,6.06,0.168,11.8,87.5,,94.1,28.4,100,40,40,215.5,86,70.8
3997,Vavuniya,Dry,Yala,6.96,0.06,11.3,55.2,0.86,92.6,30.5,130,40,60,275.6,92.4,98.9
3998,Hambantota,Dry,Maha,6.82,,5.1,41.7,1.24,124.1,30.4,130,60,60,278.1,130.4,98.2
3999,Kilinochchi,Dry,Maha,6.04,0.069,9,40.4,0.9,,28.8,130,60,60,283.9,128.4,96
4000,Anuradhapura,Dry,Yala,7.16,0.051,11.8,92.4,0.6,80.8,29.7,130,40,40,268.2,90.3,68.1
4001,Kandy,Wet,Maha,4.7,0.055,,68.5,1.78,207,27.2,130,60,40,285.7,122.1,68.6
4002,Monaragala,Intermediate,Yala,5.4,0.163,13.7,,1.31,111.8,29.2,100,40,40,227.4,81.6,66.4
4003,Batticaloa,Dry,Yala,6.89,0.115,13.5,41.1,0.59,43.7,,120,40,60,271.1,89,93.3
4004,Kilinochchi,Dry,Maha,6.47,0.138,13.1,88.9,0.82,271.7,28.9,120,40,40,247.4,86.8,70.9
4005,Hambantota,Dry,Yala,6.56,0.12,5.9,,1.48,31.8,31.7,120,60,40,247.2,136.1,71.5
4006,Galle,Wet,Maha,5.71,0.074,10.1,92.6,2.59,296.8,26.9,130,40,40,272.8,92.4,66
4007,Kilinochchi,Dry,Maha,7.19,0.171,6.7,42.3,0.76,175.9,27.5,100,60,60,212.9,128.2,101.7
4008,Matale,Intermediate,Maha,6.58,0.197,17.5,71,1.29,102.8,29.4,100,20,40,214.4,44.1,66.2
4009,Monaragala,Intermediate,Yala,5.28,0.059,15.6,55.2,1.11,,26.3,130,20,60,290.2,43.5,97.3
4010,Puttalam,Dry,Maha,6.97,0.126,8.1,97.3,1.08,213.4,29.7,120,60,40,243.6,139.8,62.5
4011,Mullaitivu,Dry,Yala,6.17,0.143,7.9,101.3,1.28,87.5,29.9,120,60,20,242.7,136.9,33.1
4012,Kandy,Wet,Maha,5.12,0.154,10.8,62.5,1.99,339.5,26.1,100,40,40,213.9,92.4,69.9
4013,Badulla,Intermediate,Maha,6.54,0.154,8.5,99.7,1.72,,29.4,100,60,40,223.8,125.6,61.9
4014,Vavuniya,Dry,Maha,,0.113,,83.5,0.52,207.3,30.5,120,60,40,248.9,135.7,67.5
4015,Trincomalee,Dry,Yala,6.34,0.117,11.6,56.9,1.14,35.6,30.8,120,40,60,266.4,83.9,105.7
4016,Puttalam,Dry,Yala,7.31,0.193,11.3,65,1.23,36.7,27.4,100,40,40,209.6,83.2,63.9
4017,Colombo,Wet,Maha,5.38,,5.3,60.9,2.67,354.8,25.4,100,60,40,230,139.1,63.5
4018,Polonnaruwa,Dry,Yala,6.6,0.147,5.2,,0.87,46.8,29.8,120,60,20,276.4,121,34.7
4019,Mannar,Dry,Yala,6.73,0.135,13.7,64,0.59,79.8,30.4,120,40,40,253,93.1,64.2
4020,Kurunegala,Intermediate,Yala,5.82,,7.2,52.8,1.44,185.4,28.9,120,60,60,250.3,123.5,95.4
4021,Vavuniya,Dry,Maha,6.72,0.121,8.8,94.6,1.06,156.3,29.4,120,60,40,257.4,136.6,65.5
4022,Jaffna,Dry,Maha,7.01,0.15,5.4,102.1,0.86,200.5,29.8,100,60,20,208.9,126,32.8
4023,Trincomalee,Dry,Yala,7.45,0.112,10.6,57.4,1.5,65.3,28.3,120,40,60,267.6,85.1,105.6
4024,Colombo,Wet,Yala,4.75,0.174,5.7,109.4,2,331.6,26.6,100,60,20,228,124.9,33.9
4025,Polonnaruwa,Dry,Maha,5.8,0.176,14.7,115.8,,168.5,28,100,40,20,223,88.1,32.8
4026,Batticaloa,Dry,Yala,6.77,0.124,12.9,98.7,1.29,65.3,28,120,40,40,273.6,85,67
4027,Badulla,Intermediate,Yala,6.65,0.069,13.1,119,1.4,233.1,29.9,130,40,20,278.2,89.1,35.6
4028,Kurunegala,Intermediate,Maha,5.4,0.118,7.6,100.8,1.92,133.8,26,120,60,20,247.4,120.9,31.4
4029,Kilinochchi,Dry,Maha,6.31,0.118,11.9,76.3,0.67,176.6,30.2,120,40,40,270.2,81.3,63.8
4030,Matara,Wet,Maha,5.32,0.134,8.3,67.2,1.54,280,26.6,120,60,40,255.4,122.6,71.3
4031,Ampara,Dry,Yala,5.59,0.154,12.7,,0.62,52.2,30.1,100,40,40,223,85.9,71.3
4032,Ampara,Dry,Yala,5.72,0.187,15,45.1,0.91,,30.2,100,20,60,209.9,45.6,95.2
4033,Mannar,Dry,Yala,6.51,0.056,7.4,58.2,,46.4,27.6,130,60,60,264.8,138,94.7
4034,Monaragala,Intermediate,Yala,,0.086,18.6,101.4,1.98,227.1,29.8,130,20,20,303.5,41.8,32.9
4035,Hambantota,Dry,Yala,7.46,0.105,12.1,111.1,1.1,83.6,29.1,120,40,20,247.4,88,31.1
4036,Trincomalee,Dry,Maha,6.61,0.092,11.5,42.2,1.22,275.1,28.7,130,40,60,303.3,90.5,102.3
4037,Ampara,Dry,Maha,5.58,0.086,7.7,55.2,1.24,170.3,28.7,130,60,60,302.8,126.3,93.7
4038,Batticaloa,Dry,Yala,5.77,0.197,7.7,47.1,1.39,32.1,,100,60,60,227,128.6,93.4
4039,Matale,Intermediate,Maha,5.74,0.151,18.8,84.9,1.27,163.8,27.7,100,20,40,222.6,43.7,66.6
4040,Matara,Wet,Yala,,0.189,5.8,66.3,2.06,274,25,100,60,40,219.9,123.3,71.3
4041,Mullaitivu,Dry,Maha,7.41,0.139,7.4,66.1,0.7,162.4,31.3,120,60,40,275.2,121.1,66
4042,Galle,Wet,Yala,5.87,0.134,8.8,114,1.77,249.7,27.4,120,60,20,252.7,123.6,32.6
4043,Matale,Intermediate,Maha,5.44,0.119,11.7,110.9,1.03,133.2,29.2,120,40,20,259.6,88.7,35.8
4044,Hambantota,Dry,Maha,6.23,0.108,12.1,90.9,1.36,199.2,31.6,120,40,40,265.6,81.4,67
4045,Matara,Wet,Yala,5.49,0.158,8.1,71.6,2.35,325.9,26.6,100,60,40,214.5,124.3,65.5
4046,Badulla,Intermediate,Maha,6.61,0.126,10.2,98.3,1.62,128.6,26.3,120,40,40,258.1,84.9,65.6
4047,Kilinochchi,Dry,Maha,6.06,0.196,11,57.9,0.99,171,30.2,100,40,60,211.9,81.5,95.4
4048,Ratnapura,Wet,Yala,5.86,0.139,6.4,117.7,,304.7,25.4,120,60,20,263.4,124.4,33.4
4049,Puttalam,Dry,Maha,,0.104,6.7,110.9,,255.2,31.9,120,60,20,274.6,138.4,33
4050,Jaffna,Dry,Maha,5.96,0.068,10.8,92.4,1.44,224,27.5,130,40,40,269.9,80.7,64.4
4051,Hambantota,Dry,Maha,6.44,0.085,7.8,72.6,0.74,133.3,28.2,130,60,40,301,133.4,63.3
4052,Matale,Intermediate,Yala,5.59,0.133,16.2,120.3,1.09,188.4,,120,20,20,268.3,42.7,32.4
4053,Nuwara Eliya,Wet,Maha,5.72,0.131,8.9,137.9,1.76,299.8,27.9,120,60,20,273.6,133.8,33.3
4054,Kandy,Wet,Maha,4.65,0.055,5.9,106.9,1.55,380,26.8,130,60,20,285,132.1,31.1
4055,Trincomalee,Dry,Maha,7.12,0.11,6.6,82.5,1.46,170.1,28.8,120,60,40,271.8,125,63.2
4056,Kurunegala,Intermediate,Yala,6.6,0.114,14.5,67.1,1.3,145.4,27.4,120,40,40,242,91.5,71.2
4057,Ampara,Dry,Maha,7.38,0.181,5.2,46.7,1.28,164,28.9,100,60,60,227.8,130.2,100.6
4058,Matale,Intermediate,Yala,5.26,0.146,5.9,129.2,1.39,140.7,27.5,120,60,20,242.9,136.7,31.1
4059,Kandy,Wet,Maha,4.54,0.19,9.2,116.6,1.88,224.1,24.2,100,60,20,230.1,128.6,34.3
4060,Puttalam,Dry,Yala,6.68,0.121,14.7,113.5,0.98,92.9,30.2,120,40,20,280.2,93.3,31.1
4061,Anuradhapura,Dry,Yala,5.63,0.181,10,82.9,1.28,26.3,30.2,100,40,40,210.7,90.5,69.1
4062,Polonnaruwa,Dry,Maha,7.09,,,119.6,0.89,294.6,28.9,100,40,20,208,93.1,34.5
4063,Trincomalee,Dry,Maha,7.19,0.114,8.3,,1.48,290.3,29.4,120,60,40,271.3,130.7,68.2
4064,Matara,Wet,Maha,4.99,0.052,,128.1,1.93,385.7,26.9,130,60,20,272.1,129.9,34.5
4065,Galle,Wet,Yala,5.6,0.054,6.2,100.5,2.75,364.3,24.4,130,60,20,298.1,135.4,31.2
4066,Matara,Wet,Maha,5.71,0.186,9.9,79,2.73,244.5,24.3,100,60,40,204.4,137.8,69
4067,Colombo,Wet,Yala,5.51,,5.2,61.6,2.04,255.4,26.9,100,60,40,205.2,139.5,63.1
4068,Monaragala,Intermediate,Yala,6.72,0.081,15.3,113.8,1.56,207.9,26.7,130,20,20,302.9,42.4,32.5
4069,Kurunegala,Intermediate,Maha,,0.197,17.4,113.7,1.68,148,28.2,100,20,20,223.1,45.4,35.5
4070,Jaffna,Dry,Yala,6.55,0.196,12,88.7,1.23,72.7,31.9,100,40,40,228.7,83.2,66.7
4071,Vavuniya,Dry,Maha,5.55,0.165,11.7,65.7,1.44,154.5,27.4,100,40,40,211.7,87.6,71.4
4072,Nuwara Eliya,Wet,Yala,4.65,0.132,10.5,70.4,1.79,211.9,26.7,120,40,40,267.8,82.8,62.6
4073,Nuwara Eliya,Wet,Maha,5,0.062,6.2,142.4,,237.2,24.8,130,60,20,286.6,127.4,33.2
4074,Hambantota,Dry,Maha,6.77,0.107,11.9,44.5,1.33,250.3,28.4,120,40,60,264.9,92.6,93.4
4075,Kalutara,Wet,Yala,5.48,0.172,6.4,111.7,2.49,268.8,27,100,60,20,223.4,123.5,34
4076,Hambantota,Dry,Maha,5.72,0.068,13.3,44.8,0.82,234.2,31.7,130,40,60,285.8,88.7,93.7
4077,Kandy,Wet,Yala,4.6,0.173,9.6,148.9,1.52,244.6,24.6,100,60,20,215.1,132.2,31.7
4078,Ratnapura,Wet,Yala,5.91,0.078,10.9,117.3,2.16,250.7,26.7,130,40,20,273.1,82.1,32.1
4079,Monaragala,Intermediate,Maha,6.56,0.147,18.6,67.7,,130.6,27,120,20,40,271.4,42.4,69.2
